pos,sense1_wn21,sense2_wn21,sense1_wn16,sense2_wn16,offset1_wn16,offset2_wn16,sense1_wn21_def,sense1_wn16_def,sense2_wn21_def,sense2_wn16_def,wn_domain_feature
v,provide.v.4,provide.v.5,put_up.v.2,,01618684-v,01618684-v,mount or put up,mount or put up,make a possibility or provide opportunity for; permit to be attainable or cause to remain,mount or put up,1.0
v,provide.v.4,provide.v.6,put_up.v.2,,01618684-v,01618684-v,mount or put up,mount or put up,supply means of subsistence; earn a living,mount or put up,1.0
v,provide.v.4,provide.v.7,put_up.v.2,,01618684-v,01618684-v,mount or put up,mount or put up,take measures in preparation for,mount or put up,1.0
v,provide.v.5,provide.v.6,,,01618684-v,01618684-v,make a possibility or provide opportunity for; permit to be attainable or cause to remain,mount or put up,supply means of subsistence; earn a living,mount or put up,1.0
v,provide.v.5,provide.v.7,,,01618684-v,01618684-v,make a possibility or provide opportunity for; permit to be attainable or cause to remain,mount or put up,take measures in preparation for,mount or put up,1.0
v,provide.v.6,provide.v.7,,,01618684-v,01618684-v,supply means of subsistence; earn a living,mount or put up,take measures in preparation for,mount or put up,1.0
v,approve.v.1,approve.v.2,approve.v.1,approve.v.2,00548199-v,00454501-v,give sanction to,give sanction to,judge to be right or commendable; think well of,judge to be right or commendable; think well of,1.0
v,require.v.1,require.v.4,necessitate.v.1,want.v.2,01792695-v,00808096-v,"require as useful, just, or proper","require as useful, just, or proper",have need of,have need of:,1.0
v,require.v.1,require.v.2,necessitate.v.1,ask.v.4,01792695-v,00513425-v,"require as useful, just, or proper","require as useful, just, or proper",consider obligatory; request and expect,consider obligatory; request and expect,1.0
v,require.v.1,require.v.3,necessitate.v.1,command.v.2,01792695-v,00510062-v,"require as useful, just, or proper","require as useful, just, or proper",make someone do something,make someone do something,1.0
v,require.v.4,require.v.2,want.v.2,ask.v.4,00808096-v,00513425-v,have need of,have need of:,consider obligatory; request and expect,consider obligatory; request and expect,1.0
v,require.v.4,require.v.3,want.v.2,command.v.2,00808096-v,00510062-v,have need of,have need of:,make someone do something,make someone do something,1.0
v,require.v.2,require.v.3,ask.v.4,command.v.2,00513425-v,00510062-v,consider obligatory; request and expect,consider obligatory; request and expect,make someone do something,make someone do something,1.0
v,compare.v.1,compare.v.4,compare.v.1,compare.v.4,00440138-v,00665082-v,examine and note the similarities or differences of,examine and note the similarities or differences of,to form the comparative or superlative form on an adjective or adverb,to form the comparative or superlative form on an adjective or adverb,1.0
v,compare.v.1,compare.v.2,compare.v.1,compare.v.2,00440138-v,01867106-v,examine and note the similarities or differences of,examine and note the similarities or differences of,be comparable,be comparable,1.0
v,compare.v.1,compare.v.3,compare.v.1,compare.v.3,00440138-v,00440600-v,examine and note the similarities or differences of,examine and note the similarities or differences of,"consider or describe as similar, equal, or analogous","consider or describe as similar, equal, or analogous",1.0
v,compare.v.4,compare.v.2,compare.v.4,compare.v.2,00665082-v,01867106-v,to form the comparative or superlative form on an adjective or adverb,to form the comparative or superlative form on an adjective or adverb,be comparable,be comparable,1.0
v,compare.v.4,compare.v.3,compare.v.4,compare.v.3,00665082-v,00440600-v,to form the comparative or superlative form on an adjective or adverb,to form the comparative or superlative form on an adjective or adverb,"consider or describe as similar, equal, or analogous","consider or describe as similar, equal, or analogous",1.0
v,compare.v.2,compare.v.3,compare.v.2,compare.v.3,01867106-v,00440600-v,be comparable,be comparable,"consider or describe as similar, equal, or analogous","consider or describe as similar, equal, or analogous",1.0
n,treat.n.1,treat.n.2,dainty.n.1,,05647296-n,00440600-v,something considered choice to eat,something considered choice to eat,an occurrence that causes special pleasure or delight,"consider or describe as similar, equal, or analogous",1.0
v,process.v.3,process.v.7,process.v.3,march.v.1,00431606-v,01361796-v,perform mathematical and logical operations on (data) according to programmed instructions in order to obtain the required information,perform mathematical and logical operations on (data) according to programmed instructions in order to obtain the required information,march in a procession,march in a procession,1.0
v,process.v.3,process.v.2,process.v.3,process.v.2,00431606-v,00359092-v,perform mathematical and logical operations on (data) according to programmed instructions in order to obtain the required information,perform mathematical and logical operations on (data) according to programmed instructions in order to obtain the required information,"subject to a process or treatment, with the aim of readying for some purpose, improving, or remedying a condition","subject to a process or treatment, often with the aim of readying for some purpose",1.0
v,process.v.3,process.v.5,process.v.3,work.v.6,00431606-v,01145518-v,perform mathematical and logical operations on (data) according to programmed instructions in order to obtain the required information,perform mathematical and logical operations on (data) according to programmed instructions in order to obtain the required information,"shape, form, or improve a material","shape, form, or improve something:",1.0
v,process.v.3,process.v.1,process.v.3,process.v.1,00431606-v,01660593-v,perform mathematical and logical operations on (data) according to programmed instructions in order to obtain the required information,perform mathematical and logical operations on (data) according to programmed instructions in order to obtain the required information,deal with in a routine way,deal with in a routine way:,1.0
v,process.v.3,process.v.4,process.v.3,sue.v.1,00431606-v,01760027-v,perform mathematical and logical operations on (data) according to programmed instructions in order to obtain the required information,perform mathematical and logical operations on (data) according to programmed instructions in order to obtain the required information,institute legal proceedings against; file a suit against,institute legal proceedings against; file a suit against,1.0
v,process.v.3,process.v.6,process.v.3,serve.v.11,00431606-v,00986223-v,perform mathematical and logical operations on (data) according to programmed instructions in order to obtain the required information,perform mathematical and logical operations on (data) according to programmed instructions in order to obtain the required information,deliver a warrant or summons to someone,serve somebody with a warrant or summons,1.0
v,process.v.7,process.v.2,march.v.1,process.v.2,01361796-v,00359092-v,march in a procession,march in a procession,"subject to a process or treatment, with the aim of readying for some purpose, improving, or remedying a condition","subject to a process or treatment, often with the aim of readying for some purpose",1.0
v,process.v.7,process.v.5,march.v.1,work.v.6,01361796-v,01145518-v,march in a procession,march in a procession,"shape, form, or improve a material","shape, form, or improve something:",1.0
v,process.v.7,process.v.1,march.v.1,process.v.1,01361796-v,01660593-v,march in a procession,march in a procession,deal with in a routine way,deal with in a routine way:,1.0
v,process.v.7,process.v.4,march.v.1,sue.v.1,01361796-v,01760027-v,march in a procession,march in a procession,institute legal proceedings against; file a suit against,institute legal proceedings against; file a suit against,1.0
v,process.v.7,process.v.6,march.v.1,serve.v.11,01361796-v,00986223-v,march in a procession,march in a procession,deliver a warrant or summons to someone,serve somebody with a warrant or summons,1.0
v,process.v.2,process.v.5,process.v.2,work.v.6,00359092-v,01145518-v,"subject to a process or treatment, with the aim of readying for some purpose, improving, or remedying a condition","subject to a process or treatment, often with the aim of readying for some purpose","shape, form, or improve a material","shape, form, or improve something:",1.0
v,process.v.2,process.v.1,process.v.2,process.v.1,00359092-v,01660593-v,"subject to a process or treatment, with the aim of readying for some purpose, improving, or remedying a condition","subject to a process or treatment, often with the aim of readying for some purpose",deal with in a routine way,deal with in a routine way:,1.0
v,process.v.2,process.v.4,process.v.2,sue.v.1,00359092-v,01760027-v,"subject to a process or treatment, with the aim of readying for some purpose, improving, or remedying a condition","subject to a process or treatment, often with the aim of readying for some purpose",institute legal proceedings against; file a suit against,institute legal proceedings against; file a suit against,1.0
v,process.v.2,process.v.6,process.v.2,serve.v.11,00359092-v,00986223-v,"subject to a process or treatment, with the aim of readying for some purpose, improving, or remedying a condition","subject to a process or treatment, often with the aim of readying for some purpose",deliver a warrant or summons to someone,serve somebody with a warrant or summons,1.0
v,process.v.5,process.v.1,work.v.6,process.v.1,01145518-v,01660593-v,"shape, form, or improve a material","shape, form, or improve something:",deal with in a routine way,deal with in a routine way:,1.0
v,process.v.5,process.v.4,work.v.6,sue.v.1,01145518-v,01760027-v,"shape, form, or improve a material","shape, form, or improve something:",institute legal proceedings against; file a suit against,institute legal proceedings against; file a suit against,1.0
v,process.v.5,process.v.6,work.v.6,serve.v.11,01145518-v,00986223-v,"shape, form, or improve a material","shape, form, or improve something:",deliver a warrant or summons to someone,serve somebody with a warrant or summons,1.0
v,process.v.1,process.v.4,process.v.1,sue.v.1,01660593-v,01760027-v,deal with in a routine way,deal with in a routine way:,institute legal proceedings against; file a suit against,institute legal proceedings against; file a suit against,1.0
v,process.v.1,process.v.6,process.v.1,serve.v.11,01660593-v,00986223-v,deal with in a routine way,deal with in a routine way:,deliver a warrant or summons to someone,serve somebody with a warrant or summons,1.0
v,process.v.4,process.v.6,sue.v.1,serve.v.11,01760027-v,00986223-v,institute legal proceedings against; file a suit against,institute legal proceedings against; file a suit against,deliver a warrant or summons to someone,serve somebody with a warrant or summons,1.0
v,plead.v.1,plead.v.2,plead.v.1,plead.v.2,00516106-v,00605968-v,appeal or request earnestly,appeal or request earnestly,offer as an excuse or plea,offer as an excuse or plea,1.0
v,plead.v.1,plead.v.3,plead.v.1,plead.v.3,00516106-v,00516869-v,appeal or request earnestly,appeal or request earnestly,"enter a plea, as in courts of law","enter a plea, as in courts of law",1.0
v,plead.v.1,plead.v.4,plead.v.1,plead.v.4,00516106-v,00687210-v,appeal or request earnestly,appeal or request earnestly,"make an allegation in an action or other legal proceeding, especially answer the previous pleading of the other party by denying facts therein stated or by alleging new facts","make an allegation in an action or other legal proceeding, esp. answer the previous pleading of the other party by denying facts therein stated or by alleging new facts",1.0
v,plead.v.2,plead.v.3,plead.v.2,plead.v.3,00605968-v,00516869-v,offer as an excuse or plea,offer as an excuse or plea,"enter a plea, as in courts of law","enter a plea, as in courts of law",1.0
v,plead.v.2,plead.v.4,plead.v.2,plead.v.4,00605968-v,00687210-v,offer as an excuse or plea,offer as an excuse or plea,"make an allegation in an action or other legal proceeding, especially answer the previous pleading of the other party by denying facts therein stated or by alleging new facts","make an allegation in an action or other legal proceeding, esp. answer the previous pleading of the other party by denying facts therein stated or by alleging new facts",1.0
v,plead.v.3,plead.v.4,plead.v.3,plead.v.4,00516869-v,00687210-v,"enter a plea, as in courts of law","enter a plea, as in courts of law","make an allegation in an action or other legal proceeding, especially answer the previous pleading of the other party by denying facts therein stated or by alleging new facts","make an allegation in an action or other legal proceeding, esp. answer the previous pleading of the other party by denying facts therein stated or by alleging new facts",1.0
v,underwrite.v.1,underwrite.v.2,,cover.v.14,00603039-v,00603918-v,guarantee financial support of,guarantee financial support of,protect by insurance,protect by insurance,1.0
n,arch.n.4,arch.n.1,arch.n.4,arch.n.1,02205453-n,10004892-n,(architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it,(architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it,a curved shape in the vertical plane that spans an opening,a curved shape in the vertical plane that spans an opening,1.0
n,arch.n.4,arch.n.2,arch.n.4,arch.n.2,02205453-n,04320709-n,(architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it,(architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it,a curved bony structure supporting or enclosing organs (especially the inner sides of the feet),a curved bony structure supporting or enclosing organs (especially arches of the feet),1.0
n,arch.n.4,arch.n.3,arch.n.4,arch.n.3,02205453-n,02206091-n,(architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it,(architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it,a passageway under a curved masonry construction,a passageway under an arch,1.0
n,arch.n.1,arch.n.2,arch.n.1,arch.n.2,10004892-n,04320709-n,a curved shape in the vertical plane that spans an opening,a curved shape in the vertical plane that spans an opening,a curved bony structure supporting or enclosing organs (especially the inner sides of the feet),a curved bony structure supporting or enclosing organs (especially arches of the feet),1.0
n,arch.n.1,arch.n.3,arch.n.1,arch.n.3,10004892-n,02206091-n,a curved shape in the vertical plane that spans an opening,a curved shape in the vertical plane that spans an opening,a passageway under a curved masonry construction,a passageway under an arch,1.0
n,arch.n.2,arch.n.3,arch.n.2,arch.n.3,04320709-n,02206091-n,a curved bony structure supporting or enclosing organs (especially the inner sides of the feet),a curved bony structure supporting or enclosing organs (especially arches of the feet),a passageway under a curved masonry construction,a passageway under an arch,1.0
v,fix.v.1,fix.v.5,repair.v.1,pay_back.v.2,00177962-v,00784497-v,restore by replacing a part or putting together what is torn or broken,restore by replacing a part or putting together what is torn or broken,take vengeance on or get even,take vengeance on or get even,1.0
v,fix.v.1,fix.v.9,repair.v.1,sterilize.v.2,00177962-v,00043269-v,restore by replacing a part or putting together what is torn or broken,restore by replacing a part or putting together what is torn or broken,make infertile,make infertile; of both males and females,1.0
v,fix.v.1,fix.v.2,repair.v.1,fasten.v.1,00177962-v,00915832-v,restore by replacing a part or putting together what is torn or broken,restore by replacing a part or putting together what is torn or broken,cause to be firmly attached,cause to be firmly attached,1.0
v,fix.v.1,fix.v.8,repair.v.1,fixate.v.1,00177962-v,00339066-v,restore by replacing a part or putting together what is torn or broken,restore by replacing a part or putting together what is torn or broken,"make fixed, stable or stationary","make fixed, stable or stationary",1.0
v,fix.v.1,fix.v.10,repair.v.1,situate.v.2,00177962-v,01085355-v,restore by replacing a part or putting together what is torn or broken,restore by replacing a part or putting together what is torn or broken,put (something somewhere) firmly,place firmly,1.0
v,fix.v.1,fix.v.3,repair.v.1,,00177962-v,00641405-v,restore by replacing a part or putting together what is torn or broken,restore by replacing a part or putting together what is torn or broken,decide upon or fix definitely,"decide upon, as of variables in math",1.0
v,fix.v.1,fix.v.6,repair.v.1,fix.v.6,00177962-v,01131797-v,restore by replacing a part or putting together what is torn or broken,restore by replacing a part or putting together what is torn or broken,set or place definitely,set or place definitely,1.0
v,fix.v.1,fix.v.4,repair.v.1,cook.v.2,00177962-v,01142893-v,restore by replacing a part or putting together what is torn or broken,restore by replacing a part or putting together what is torn or broken,prepare for eating by applying heat,prepare for eating by applying heat,1.0
v,fix.v.1,fix.v.7,repair.v.1,fix.v.7,00177962-v,00282800-v,restore by replacing a part or putting together what is torn or broken,restore by replacing a part or putting together what is torn or broken,"kill, preserve, and harden (tissue) in order to prepare for microscopic study","kill, preserve, and harden (tissue) in order to prepare for microscopic study; in cytology",1.0
v,fix.v.1,fix.v.11,repair.v.1,,00177962-v,00282800-v,restore by replacing a part or putting together what is torn or broken,restore by replacing a part or putting together what is torn or broken,"make ready or suitable or equip in advance for a particular purpose or for some use, event, etc","kill, preserve, and harden (tissue) in order to prepare for microscopic study; in cytology",1.0
v,fix.v.5,fix.v.9,pay_back.v.2,sterilize.v.2,00784497-v,00043269-v,take vengeance on or get even,take vengeance on or get even,make infertile,make infertile; of both males and females,1.0
v,fix.v.5,fix.v.2,pay_back.v.2,fasten.v.1,00784497-v,00915832-v,take vengeance on or get even,take vengeance on or get even,cause to be firmly attached,cause to be firmly attached,1.0
v,fix.v.5,fix.v.8,pay_back.v.2,fixate.v.1,00784497-v,00339066-v,take vengeance on or get even,take vengeance on or get even,"make fixed, stable or stationary","make fixed, stable or stationary",1.0
v,fix.v.5,fix.v.10,pay_back.v.2,situate.v.2,00784497-v,01085355-v,take vengeance on or get even,take vengeance on or get even,put (something somewhere) firmly,place firmly,1.0
v,fix.v.5,fix.v.3,pay_back.v.2,,00784497-v,00641405-v,take vengeance on or get even,take vengeance on or get even,decide upon or fix definitely,"decide upon, as of variables in math",1.0
v,fix.v.5,fix.v.6,pay_back.v.2,fix.v.6,00784497-v,01131797-v,take vengeance on or get even,take vengeance on or get even,set or place definitely,set or place definitely,1.0
v,fix.v.5,fix.v.4,pay_back.v.2,cook.v.2,00784497-v,01142893-v,take vengeance on or get even,take vengeance on or get even,prepare for eating by applying heat,prepare for eating by applying heat,1.0
v,fix.v.5,fix.v.7,pay_back.v.2,fix.v.7,00784497-v,00282800-v,take vengeance on or get even,take vengeance on or get even,"kill, preserve, and harden (tissue) in order to prepare for microscopic study","kill, preserve, and harden (tissue) in order to prepare for microscopic study; in cytology",1.0
v,fix.v.5,fix.v.11,pay_back.v.2,,00784497-v,00282800-v,take vengeance on or get even,take vengeance on or get even,"make ready or suitable or equip in advance for a particular purpose or for some use, event, etc","kill, preserve, and harden (tissue) in order to prepare for microscopic study; in cytology",1.0
v,fix.v.9,fix.v.2,sterilize.v.2,fasten.v.1,00043269-v,00915832-v,make infertile,make infertile; of both males and females,cause to be firmly attached,cause to be firmly attached,1.0
v,fix.v.9,fix.v.8,sterilize.v.2,fixate.v.1,00043269-v,00339066-v,make infertile,make infertile; of both males and females,"make fixed, stable or stationary","make fixed, stable or stationary",1.0
v,fix.v.9,fix.v.10,sterilize.v.2,situate.v.2,00043269-v,01085355-v,make infertile,make infertile; of both males and females,put (something somewhere) firmly,place firmly,1.0
v,fix.v.9,fix.v.3,sterilize.v.2,,00043269-v,00641405-v,make infertile,make infertile; of both males and females,decide upon or fix definitely,"decide upon, as of variables in math",1.0
v,fix.v.9,fix.v.6,sterilize.v.2,fix.v.6,00043269-v,01131797-v,make infertile,make infertile; of both males and females,set or place definitely,set or place definitely,1.0
v,fix.v.9,fix.v.4,sterilize.v.2,cook.v.2,00043269-v,01142893-v,make infertile,make infertile; of both males and females,prepare for eating by applying heat,prepare for eating by applying heat,1.0
v,fix.v.9,fix.v.7,sterilize.v.2,fix.v.7,00043269-v,00282800-v,make infertile,make infertile; of both males and females,"kill, preserve, and harden (tissue) in order to prepare for microscopic study","kill, preserve, and harden (tissue) in order to prepare for microscopic study; in cytology",1.0
v,fix.v.9,fix.v.11,sterilize.v.2,,00043269-v,00282800-v,make infertile,make infertile; of both males and females,"make ready or suitable or equip in advance for a particular purpose or for some use, event, etc","kill, preserve, and harden (tissue) in order to prepare for microscopic study; in cytology",1.0
v,fix.v.2,fix.v.8,fasten.v.1,fixate.v.1,00915832-v,00339066-v,cause to be firmly attached,cause to be firmly attached,"make fixed, stable or stationary","make fixed, stable or stationary",1.0
v,fix.v.2,fix.v.10,fasten.v.1,situate.v.2,00915832-v,01085355-v,cause to be firmly attached,cause to be firmly attached,put (something somewhere) firmly,place firmly,1.0
v,fix.v.2,fix.v.3,fasten.v.1,,00915832-v,00641405-v,cause to be firmly attached,cause to be firmly attached,decide upon or fix definitely,"decide upon, as of variables in math",1.0
v,fix.v.2,fix.v.6,fasten.v.1,fix.v.6,00915832-v,01131797-v,cause to be firmly attached,cause to be firmly attached,set or place definitely,set or place definitely,1.0
v,fix.v.2,fix.v.4,fasten.v.1,cook.v.2,00915832-v,01142893-v,cause to be firmly attached,cause to be firmly attached,prepare for eating by applying heat,prepare for eating by applying heat,1.0
v,fix.v.2,fix.v.7,fasten.v.1,fix.v.7,00915832-v,00282800-v,cause to be firmly attached,cause to be firmly attached,"kill, preserve, and harden (tissue) in order to prepare for microscopic study","kill, preserve, and harden (tissue) in order to prepare for microscopic study; in cytology",1.0
v,fix.v.2,fix.v.11,fasten.v.1,,00915832-v,00282800-v,cause to be firmly attached,cause to be firmly attached,"make ready or suitable or equip in advance for a particular purpose or for some use, event, etc","kill, preserve, and harden (tissue) in order to prepare for microscopic study; in cytology",1.0
v,fix.v.8,fix.v.10,fixate.v.1,situate.v.2,00339066-v,01085355-v,"make fixed, stable or stationary","make fixed, stable or stationary",put (something somewhere) firmly,place firmly,1.0
v,fix.v.8,fix.v.3,fixate.v.1,,00339066-v,00641405-v,"make fixed, stable or stationary","make fixed, stable or stationary",decide upon or fix definitely,"decide upon, as of variables in math",1.0
