pos,sense1_wn21,sense2_wn21,sense1_wn16,sense2_wn16,sense1_wn21_def,sense1_wn16_def,sense2_wn21_def,sense2_wn16_def,sense1_topic,sense2_topic,topic_similarity
n,chain.n.4,chain.n.8,chain.n.4,range.n.5,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,a series of hills or mountains,a series of hills or mountains,tf_idfBNC_filt.chain.n.4.txt,tf_idfBNC_filt.range.n.5.txt,0.9142641582829648
n,chain.n.4,chain.n.6,chain.n.4,chain.n.6,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,a unit of length,a unit of length,tf_idfBNC_filt.chain.n.4.txt,tf_idfBNC_filt.chain.n.6.txt,0.9962797227215969
n,chain.n.9,chain.n.8,chain.n.9,range.n.5,a necklace made by a stringing objects together,a necklace made by a stringing objects together;  or,a series of hills or mountains,a series of hills or mountains,tf_idfBNC_filt.chain.n.9.txt,tf_idfBNC_filt.range.n.5.txt,0.7443991559831733
n,chain.n.9,chain.n.6,chain.n.9,chain.n.6,a necklace made by a stringing objects together,a necklace made by a stringing objects together;  or,a unit of length,a unit of length,tf_idfBNC_filt.chain.n.9.txt,tf_idfBNC_filt.chain.n.6.txt,0.8447424495981762
n,chain.n.8,chain.n.6,range.n.5,chain.n.6,a series of hills or mountains,a series of hills or mountains,a unit of length,a unit of length,tf_idfBNC_filt.range.n.5.txt,tf_idfBNC_filt.chain.n.6.txt,0.8943464471693409
n,guideline.n.1,guideline.n.3,guideline.n.2,guidepost.n.1,a light line that is used in lettering to help align the letters,a light line that is used in lettering to help align the letters,a rule or principle that provides guidance to appropriate behavior,a rule or principle that provides guidance to appropriate behavior,tf_idfBNC_filt.guideline.n.2.txt,tf_idfBNC_filt.guidepost.n.1.txt,0.9402016168342624
n,arch.n.4,arch.n.1,arch.n.4,arch.n.1,(architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it,(architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it,a curved shape in the vertical plane that spans an opening,a curved shape in the vertical plane that spans an opening,tf_idfBNC_filt.arch.n.4.txt,tf_idfBNC_filt.arch.n.1.txt,0.8843352672498885
n,arch.n.4,arch.n.2,arch.n.4,arch.n.2,(architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it,(architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it,a curved bony structure supporting or enclosing organs (especially the inner sides of the feet),a curved bony structure supporting or enclosing organs (especially arches of the feet),tf_idfBNC_filt.arch.n.4.txt,tf_idfBNC_filt.arch.n.2.txt,0.8866255633380556
n,arch.n.4,arch.n.3,arch.n.4,arch.n.3,(architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it,(architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it,a passageway under a curved masonry construction,a passageway under an arch,tf_idfBNC_filt.arch.n.4.txt,tf_idfBNC_filt.arch.n.3.txt,0.9295385745647615
n,arch.n.1,arch.n.2,arch.n.1,arch.n.2,a curved shape in the vertical plane that spans an opening,a curved shape in the vertical plane that spans an opening,a curved bony structure supporting or enclosing organs (especially the inner sides of the feet),a curved bony structure supporting or enclosing organs (especially arches of the feet),tf_idfBNC_filt.arch.n.1.txt,tf_idfBNC_filt.arch.n.2.txt,0.9446281587718548
n,arch.n.1,arch.n.3,arch.n.1,arch.n.3,a curved shape in the vertical plane that spans an opening,a curved shape in the vertical plane that spans an opening,a passageway under a curved masonry construction,a passageway under an arch,tf_idfBNC_filt.arch.n.1.txt,tf_idfBNC_filt.arch.n.3.txt,0.9279062532639505
n,arch.n.2,arch.n.3,arch.n.2,arch.n.3,a curved bony structure supporting or enclosing organs (especially the inner sides of the feet),a curved bony structure supporting or enclosing organs (especially arches of the feet),a passageway under a curved masonry construction,a passageway under an arch,tf_idfBNC_filt.arch.n.2.txt,tf_idfBNC_filt.arch.n.3.txt,0.8837502184467931
n,turf.n.1,turf.n.2,turf.n.1,turf.n.2,surface layer of ground containing a mat of grass and grass roots,surface layer of ground containing a matt of grass and grass roots,the territory claimed by a juvenile gang as its own,the territory claimed by a juvenile gang as its own,tf_idfBNC_filt.turf.n.1.txt,tf_idfBNC_filt.turf.n.2.txt,0.9810903814365901
n,turf.n.1,turf.n.3,turf.n.1,turf.n.3,surface layer of ground containing a mat of grass and grass roots,surface layer of ground containing a matt of grass and grass roots,range of jurisdiction or influence,(informal) range of jurisdiction or influence:,tf_idfBNC_filt.turf.n.1.txt,tf_idfBNC_filt.turf.n.3.txt,0.8714928631838783
n,turf.n.2,turf.n.3,turf.n.2,turf.n.3,the territory claimed by a juvenile gang as its own,the territory claimed by a juvenile gang as its own,range of jurisdiction or influence,(informal) range of jurisdiction or influence:,tf_idfBNC_filt.turf.n.2.txt,tf_idfBNC_filt.turf.n.3.txt,0.8881067666166572
n,volatility.n.2,volatility.n.3,volatility.n.1,excitability.n.2,the trait of being unpredictably irresolute,the trait of being unpredictably irresolute,being easily excited,being easily excited,tf_idfBNC_filt.volatility.n.1.txt,tf_idfBNC_filt.excitability.n.2.txt,0.9234480909571192
n,disaster.n.1,disaster.n.3,catastrophe.n.2,disaster.n.3,a state of extreme (usually irremediable) ruin and misfortune,a state of extreme (usually irremediable) ruin and misfortune,an act that has disastrous consequences,an act that has disastrous consequences,tf_idfBNC_filt.catastrophe.n.2.txt,tf_idfBNC_filt.disaster.n.3.txt,0.9485289138678055
n,border.n.2,border.n.3,margin.n.1,edge.n.1,the boundary line or the area immediately inside the boundary,the boundary line or the area immediately inside the boundary,the boundary of a surface,the boundary of a surface,tf_idfBNC_filt.margin.n.1.txt,tf_idfBNC_filt.edge.n.1.txt,0.9609812381864969
n,border.n.2,border.n.5,margin.n.1,border.n.5,the boundary line or the area immediately inside the boundary,the boundary line or the area immediately inside the boundary,a strip forming the outer edge of something,a strip forming the outer edge of something:,tf_idfBNC_filt.margin.n.1.txt,tf_idfBNC_filt.border.n.5.txt,0.9565475643213738
n,border.n.3,border.n.5,edge.n.1,border.n.5,the boundary of a surface,the boundary of a surface,a strip forming the outer edge of something,a strip forming the outer edge of something:,tf_idfBNC_filt.edge.n.1.txt,tf_idfBNC_filt.border.n.5.txt,0.9735692879831366
n,car.n.1,car.n.2,car.n.1,car.n.2,a motor vehicle with four wheels; usually propelled by an internal combustion engine,4-wheeled motor vehicle; usually propelled by an internal combustion engine,a wheeled vehicle adapted to the rails of railroad,a wheeled vehicle adapted to the rails of railroad,tf_idfBNC_filt.car.n.1.txt,tf_idfBNC_filt.car.n.2.txt,0.8821565315313086
n,car.n.1,car.n.4,car.n.1,car.n.3,a motor vehicle with four wheels; usually propelled by an internal combustion engine,4-wheeled motor vehicle; usually propelled by an internal combustion engine,the compartment that is suspended from an airship and that carries personnel and the cargo and the power plant,car suspended from an airship and carrying personnel and cargo and power plant,tf_idfBNC_filt.car.n.1.txt,tf_idfBNC_filt.car.n.3.txt,0.7392510054283055
n,car.n.1,car.n.5,car.n.1,car.n.4,a motor vehicle with four wheels; usually propelled by an internal combustion engine,4-wheeled motor vehicle; usually propelled by an internal combustion engine,where passengers ride up and down,where passengers ride up and down,tf_idfBNC_filt.car.n.1.txt,tf_idfBNC_filt.car.n.4.txt,0.7385784784434453
n,car.n.2,car.n.4,car.n.2,car.n.3,a wheeled vehicle adapted to the rails of railroad,a wheeled vehicle adapted to the rails of railroad,the compartment that is suspended from an airship and that carries personnel and the cargo and the power plant,car suspended from an airship and carrying personnel and cargo and power plant,tf_idfBNC_filt.car.n.2.txt,tf_idfBNC_filt.car.n.3.txt,0.9024563829850741
n,car.n.2,car.n.5,car.n.2,car.n.4,a wheeled vehicle adapted to the rails of railroad,a wheeled vehicle adapted to the rails of railroad,where passengers ride up and down,where passengers ride up and down,tf_idfBNC_filt.car.n.2.txt,tf_idfBNC_filt.car.n.4.txt,0.9015782117458975
n,car.n.4,car.n.5,car.n.3,car.n.4,the compartment that is suspended from an airship and that carries personnel and the cargo and the power plant,car suspended from an airship and carrying personnel and cargo and power plant,where passengers ride up and down,where passengers ride up and down,tf_idfBNC_filt.car.n.3.txt,tf_idfBNC_filt.car.n.4.txt,0.99991171493047
n,disguise.n.2,disguise.n.1,disguise.n.2,disguise.n.1,any attire that modifies the appearance in order to conceal the wearer's identity,any attire that modifies the appearance in order to conceal the wearer's identity,an outward semblance that misrepresents the true nature of something,an outward semblance that misrepresents the true nature of something,tf_idfBNC_filt.disguise.n.2.txt,tf_idfBNC_filt.disguise.n.1.txt,0.8066460908376882
n,disguise.n.2,disguise.n.3,disguise.n.2,disguise.n.3,any attire that modifies the appearance in order to conceal the wearer's identity,any attire that modifies the appearance in order to conceal the wearer's identity,the act of concealing the identity of something by modifying its appearance,the act of concealing the identity of something by modifying its appearance,tf_idfBNC_filt.disguise.n.2.txt,tf_idfBNC_filt.disguise.n.3.txt,0.880280671126498
n,disguise.n.1,disguise.n.3,disguise.n.1,disguise.n.3,an outward semblance that misrepresents the true nature of something,an outward semblance that misrepresents the true nature of something,the act of concealing the identity of something by modifying its appearance,the act of concealing the identity of something by modifying its appearance,tf_idfBNC_filt.disguise.n.1.txt,tf_idfBNC_filt.disguise.n.3.txt,0.9636175486309774
n,mine.n.1,mine.n.2,mine.n.1,mine.n.2,excavation in the earth from which ores and minerals are extracted,a excavation in the earth from which ores and minerals are extracted,explosive device that explodes on contact; designed to destroy vehicles or ships or to kill or maim personnel,a device that explodes on contact; designed to destroy vehicles or ships or kill personnel,tf_idfBNC_filt.mine.n.1.txt,tf_idfBNC_filt.mine.n.2.txt,0.8008743111540847
n,degradation.n.1,degradation.n.2,degradation.n.1,abasement.n.1,changing to a lower state (a less respected state),changing to a lower state (a less respected state),a low or downcast state; - H.L.Menchken,a low or downcast state: - H.L.Menchken,tf_idfBNC_filt.degradation.n.1.txt,tf_idfBNC_filt.abasement.n.1.txt,0.8589870284889103
n,vehicle.n.1,vehicle.n.2,vehicle.n.1,vehicle.n.2,a conveyance that transports people or objects,a conveyance that transports people or objects,a medium for the expression or achievement of something,a medium for the expression or achievement of something,tf_idfBNC_filt.vehicle.n.1.txt,tf_idfBNC_filt.vehicle.n.2.txt,0.7937600887116038
n,thrift.n.2,thrift.n.1,parsimony.n.1,thrift.n.1,extreme care in spending money; reluctance to spend money unnecessarily,extreme care in spending money; reluctance to spend money unnecessarily,any of numerous sun-loving low-growing evergreens of the genus Armeria having round heads of pink or white flowers,any of numerous sun-loving low-growing evergreens of the genus Armeria having round heads of pink or white flowers,tf_idfBNC_filt.parsimony.n.1.txt,tf_idfBNC_filt.thrift.n.1.txt,0.9763505133038118
n,list.n.1,list.n.2,list.n.1,tilt.n.4,a database containing an ordered array of items (names or topics),a database containing an ordered array of items (names or topics),the property possessed by a line or surface that departs from the vertical,the property possessed by a line or surface that departs from the vertical,tf_idfBNC_filt.list.n.1.txt,tf_idfBNC_filt.tilt.n.4.txt,0.7525149682497505
n,mark.n.1,mark.n.10,mark.n.1,mark.n.9,a number or letter indicating quality (especially of a student's performance),a number or letter indicating quality (especially of a student's performance),a written or printed symbol (as for punctuation),a written or printed symbol (as for punctuation),tf_idfBNC_filt.mark.n.1.txt,tf_idfBNC_filt.mark.n.9.txt,0.9648940694015493
n,mark.n.1,mark.n.7,mark.n.1,mark.n.7,a number or letter indicating quality (especially of a student's performance),a number or letter indicating quality (especially of a student's performance),formerly the basic unit of money in Germany,the basic unit of money in Germany,tf_idfBNC_filt.mark.n.1.txt,tf_idfBNC_filt.mark.n.7.txt,0.9288940980708678
n,mark.n.1,mark.n.13,mark.n.1,scratch.n.6,a number or letter indicating quality (especially of a student's performance),a number or letter indicating quality (especially of a student's performance),an indication of damage,an indication of damage,tf_idfBNC_filt.mark.n.1.txt,tf_idfBNC_filt.scratch.n.6.txt,0.9521436584047251
n,mark.n.1,mark.n.12,mark.n.1,mark.n.11,a number or letter indicating quality (especially of a student's performance),a number or letter indicating quality (especially of a student's performance),the shortest of the four Gospels in the New Testament,the shortest of the four Gospels in the New Testament,tf_idfBNC_filt.mark.n.1.txt,tf_idfBNC_filt.mark.n.11.txt,0.9872096338106571
n,mark.n.1,mark.n.2,mark.n.1,marker.n.2,a number or letter indicating quality (especially of a student's performance),a number or letter indicating quality (especially of a student's performance),a distinguishing symbol,a distinguishing symbol,tf_idfBNC_filt.mark.n.1.txt,tf_idfBNC_filt.marker.n.2.txt,0.8638447042214048
n,mark.n.1,mark.n.6,mark.n.1,mark.n.6,a number or letter indicating quality (especially of a student's performance),a number or letter indicating quality (especially of a student's performance),a symbol of disgrace or infamy; --Genesis,a symbol of disgrace or infamy; --Genesis,tf_idfBNC_filt.mark.n.1.txt,tf_idfBNC_filt.mark.n.6.txt,0.9465846902468291
n,mark.n.1,mark.n.11,mark.n.1,sign.n.1,a number or letter indicating quality (especially of a student's performance),a number or letter indicating quality (especially of a student's performance),a perceptible indication of something not immediately apparent (as a visible clue that something has happened),a perceptible indication of something not immediately apparent (as a visible clue that something has happened),tf_idfBNC_filt.mark.n.1.txt,tf_idfBNC_filt.sign.n.1.txt,0.8878688058203391
n,mark.n.1,mark.n.3,mark.n.1,target.n.1,a number or letter indicating quality (especially of a student's performance),a number or letter indicating quality (especially of a student's performance),a reference point to shoot at,a reference point to shoot at,tf_idfBNC_filt.mark.n.1.txt,tf_idfBNC_filt.target.n.1.txt,0.9240983963230895
n,mark.n.10,mark.n.7,mark.n.9,mark.n.7,a written or printed symbol (as for punctuation),a written or printed symbol (as for punctuation),formerly the basic unit of money in Germany,the basic unit of money in Germany,tf_idfBNC_filt.mark.n.9.txt,tf_idfBNC_filt.mark.n.7.txt,0.8679407421867917
n,mark.n.10,mark.n.13,mark.n.9,scratch.n.6,a written or printed symbol (as for punctuation),a written or printed symbol (as for punctuation),an indication of damage,an indication of damage,tf_idfBNC_filt.mark.n.9.txt,tf_idfBNC_filt.scratch.n.6.txt,0.962484540750705
n,mark.n.10,mark.n.12,mark.n.9,mark.n.11,a written or printed symbol (as for punctuation),a written or printed symbol (as for punctuation),the shortest of the four Gospels in the New Testament,the shortest of the four Gospels in the New Testament,tf_idfBNC_filt.mark.n.9.txt,tf_idfBNC_filt.mark.n.11.txt,0.9754943649948069
n,mark.n.10,mark.n.2,mark.n.9,marker.n.2,a written or printed symbol (as for punctuation),a written or printed symbol (as for punctuation),a distinguishing symbol,a distinguishing symbol,tf_idfBNC_filt.mark.n.9.txt,tf_idfBNC_filt.marker.n.2.txt,0.9195149670842709
n,mark.n.10,mark.n.6,mark.n.9,mark.n.6,a written or printed symbol (as for punctuation),a written or printed symbol (as for punctuation),a symbol of disgrace or infamy; --Genesis,a symbol of disgrace or infamy; --Genesis,tf_idfBNC_filt.mark.n.9.txt,tf_idfBNC_filt.mark.n.6.txt,0.9756786376967106
n,mark.n.10,mark.n.11,mark.n.9,sign.n.1,a written or printed symbol (as for punctuation),a written or printed symbol (as for punctuation),a perceptible indication of something not immediately apparent (as a visible clue that something has happened),a perceptible indication of something not immediately apparent (as a visible clue that something has happened),tf_idfBNC_filt.mark.n.9.txt,tf_idfBNC_filt.sign.n.1.txt,0.8012694998672742
n,mark.n.10,mark.n.3,mark.n.9,target.n.1,a written or printed symbol (as for punctuation),a written or printed symbol (as for punctuation),a reference point to shoot at,a reference point to shoot at,tf_idfBNC_filt.mark.n.9.txt,tf_idfBNC_filt.target.n.1.txt,0.9661967540448095
n,mark.n.7,mark.n.13,mark.n.7,scratch.n.6,formerly the basic unit of money in Germany,the basic unit of money in Germany,an indication of damage,an indication of damage,tf_idfBNC_filt.mark.n.7.txt,tf_idfBNC_filt.scratch.n.6.txt,0.8824496882100342
n,mark.n.7,mark.n.12,mark.n.7,mark.n.11,formerly the basic unit of money in Germany,the basic unit of money in Germany,the shortest of the four Gospels in the New Testament,the shortest of the four Gospels in the New Testament,tf_idfBNC_filt.mark.n.7.txt,tf_idfBNC_filt.mark.n.11.txt,0.9171753692179254
n,mark.n.7,mark.n.2,mark.n.7,marker.n.2,formerly the basic unit of money in Germany,the basic unit of money in Germany,a distinguishing symbol,a distinguishing symbol,tf_idfBNC_filt.mark.n.7.txt,tf_idfBNC_filt.marker.n.2.txt,0.7930317868216761
n,mark.n.7,mark.n.6,mark.n.7,mark.n.6,formerly the basic unit of money in Germany,the basic unit of money in Germany,a symbol of disgrace or infamy; --Genesis,a symbol of disgrace or infamy; --Genesis,tf_idfBNC_filt.mark.n.7.txt,tf_idfBNC_filt.mark.n.6.txt,0.8787897118796181
n,mark.n.7,mark.n.11,mark.n.7,sign.n.1,formerly the basic unit of money in Germany,the basic unit of money in Germany,a perceptible indication of something not immediately apparent (as a visible clue that something has happened),a perceptible indication of something not immediately apparent (as a visible clue that something has happened),tf_idfBNC_filt.mark.n.7.txt,tf_idfBNC_filt.sign.n.1.txt,0.9829859022720034
n,mark.n.7,mark.n.3,mark.n.7,target.n.1,formerly the basic unit of money in Germany,the basic unit of money in Germany,a reference point to shoot at,a reference point to shoot at,tf_idfBNC_filt.mark.n.7.txt,tf_idfBNC_filt.target.n.1.txt,0.7912970419834557
n,mark.n.13,mark.n.12,scratch.n.6,mark.n.11,an indication of damage,an indication of damage,the shortest of the four Gospels in the New Testament,the shortest of the four Gospels in the New Testament,tf_idfBNC_filt.scratch.n.6.txt,tf_idfBNC_filt.mark.n.11.txt,0.9574115468609801
n,mark.n.13,mark.n.2,scratch.n.6,marker.n.2,an indication of damage,an indication of damage,a distinguishing symbol,a distinguishing symbol,tf_idfBNC_filt.scratch.n.6.txt,tf_idfBNC_filt.marker.n.2.txt,0.9674541784429028
n,mark.n.13,mark.n.6,scratch.n.6,mark.n.6,an indication of damage,an indication of damage,a symbol of disgrace or infamy; --Genesis,a symbol of disgrace or infamy; --Genesis,tf_idfBNC_filt.scratch.n.6.txt,tf_idfBNC_filt.mark.n.6.txt,0.9406968974509204
n,mark.n.13,mark.n.11,scratch.n.6,sign.n.1,an indication of damage,an indication of damage,a perceptible indication of something not immediately apparent (as a visible clue that something has happened),a perceptible indication of something not immediately apparent (as a visible clue that something has happened),tf_idfBNC_filt.scratch.n.6.txt,tf_idfBNC_filt.sign.n.1.txt,0.836021444240981
n,mark.n.13,mark.n.3,scratch.n.6,target.n.1,an indication of damage,an indication of damage,a reference point to shoot at,a reference point to shoot at,tf_idfBNC_filt.scratch.n.6.txt,tf_idfBNC_filt.target.n.1.txt,0.944809468184576
n,mark.n.12,mark.n.2,mark.n.11,marker.n.2,the shortest of the four Gospels in the New Testament,the shortest of the four Gospels in the New Testament,a distinguishing symbol,a distinguishing symbol,tf_idfBNC_filt.mark.n.11.txt,tf_idfBNC_filt.marker.n.2.txt,0.8814557636516049
n,mark.n.12,mark.n.6,mark.n.11,mark.n.6,the shortest of the four Gospels in the New Testament,the shortest of the four Gospels in the New Testament,a symbol of disgrace or infamy; --Genesis,a symbol of disgrace or infamy; --Genesis,tf_idfBNC_filt.mark.n.11.txt,tf_idfBNC_filt.mark.n.6.txt,0.9631287024063006
n,mark.n.12,mark.n.11,mark.n.11,sign.n.1,the shortest of the four Gospels in the New Testament,the shortest of the four Gospels in the New Testament,a perceptible indication of something not immediately apparent (as a visible clue that something has happened),a perceptible indication of something not immediately apparent (as a visible clue that something has happened),tf_idfBNC_filt.mark.n.11.txt,tf_idfBNC_filt.sign.n.1.txt,0.8605312495339154
n,mark.n.12,mark.n.3,mark.n.11,target.n.1,the shortest of the four Gospels in the New Testament,the shortest of the four Gospels in the New Testament,a reference point to shoot at,a reference point to shoot at,tf_idfBNC_filt.mark.n.11.txt,tf_idfBNC_filt.target.n.1.txt,0.9342809284224369
n,mark.n.2,mark.n.6,marker.n.2,mark.n.6,a distinguishing symbol,a distinguishing symbol,a symbol of disgrace or infamy; --Genesis,a symbol of disgrace or infamy; --Genesis,tf_idfBNC_filt.marker.n.2.txt,tf_idfBNC_filt.mark.n.6.txt,0.9145588484316745
n,mark.n.2,mark.n.11,marker.n.2,sign.n.1,a distinguishing symbol,a distinguishing symbol,a perceptible indication of something not immediately apparent (as a visible clue that something has happened),a perceptible indication of something not immediately apparent (as a visible clue that something has happened),tf_idfBNC_filt.marker.n.2.txt,tf_idfBNC_filt.sign.n.1.txt,0.7254829401573747
n,mark.n.2,mark.n.3,marker.n.2,target.n.1,a distinguishing symbol,a distinguishing symbol,a reference point to shoot at,a reference point to shoot at,tf_idfBNC_filt.marker.n.2.txt,tf_idfBNC_filt.target.n.1.txt,0.9357433884503125
n,mark.n.6,mark.n.11,mark.n.6,sign.n.1,a symbol of disgrace or infamy; --Genesis,a symbol of disgrace or infamy; --Genesis,a perceptible indication of something not immediately apparent (as a visible clue that something has happened),a perceptible indication of something not immediately apparent (as a visible clue that something has happened),tf_idfBNC_filt.mark.n.6.txt,tf_idfBNC_filt.sign.n.1.txt,0.7939998364391512
n,mark.n.6,mark.n.3,mark.n.6,target.n.1,a symbol of disgrace or infamy; --Genesis,a symbol of disgrace or infamy; --Genesis,a reference point to shoot at,a reference point to shoot at,tf_idfBNC_filt.mark.n.6.txt,tf_idfBNC_filt.target.n.1.txt,0.9722425187753925
n,mark.n.11,mark.n.3,sign.n.1,target.n.1,a perceptible indication of something not immediately apparent (as a visible clue that something has happened),a perceptible indication of something not immediately apparent (as a visible clue that something has happened),a reference point to shoot at,a reference point to shoot at,tf_idfBNC_filt.sign.n.1.txt,tf_idfBNC_filt.target.n.1.txt,0.698929390868988
n,student.n.1,student.n.2,student.n.1,scholar.n.1,a learner who is enrolled in an educational institution,a learner who is enrolled in an educational institution,a learned person (especially in the humanities); someone who by long study has gained mastery in one or more disciplines,a learned person (especially in the humanities); someone who by long study has gained mastery in one or more disciplines,tf_idfBNC_filt.student.n.1.txt,tf_idfBNC_filt.scholar.n.1.txt,0.836307207063971
n,blank.n.1,blank.n.2,space.n.6,blank.n.2,a blank character used to separate successive words in writing or printing,a blank character used to separate successive words in writing or printing,a substitute for a taboo word,a substitute for a taboo word,tf_idfBNC_filt.space.n.6.txt,tf_idfBNC_filt.blank.n.2.txt,0.7206211268139515
n,blank.n.1,blank.n.4,space.n.6,blank.n.4,a blank character used to separate successive words in writing or printing,a blank character used to separate successive words in writing or printing,a piece of material ready to be made into something,a piece of material ready to be made into something,tf_idfBNC_filt.space.n.6.txt,tf_idfBNC_filt.blank.n.4.txt,0.9744513723700805
n,blank.n.1,blank.n.5,space.n.6,blank.n.5,a blank character used to separate successive words in writing or printing,a blank character used to separate successive words in writing or printing,a cartridge containing an explosive charge but no bullet,a cartridge containing an explosive charge but no bullet,tf_idfBNC_filt.space.n.6.txt,tf_idfBNC_filt.blank.n.5.txt,0.7631661910145661
n,blank.n.2,blank.n.4,blank.n.2,blank.n.4,a substitute for a taboo word,a substitute for a taboo word,a piece of material ready to be made into something,a piece of material ready to be made into something,tf_idfBNC_filt.blank.n.2.txt,tf_idfBNC_filt.blank.n.4.txt,0.7068563478460578
n,blank.n.2,blank.n.5,blank.n.2,blank.n.5,a substitute for a taboo word,a substitute for a taboo word,a cartridge containing an explosive charge but no bullet,a cartridge containing an explosive charge but no bullet,tf_idfBNC_filt.blank.n.2.txt,tf_idfBNC_filt.blank.n.5.txt,0.4920304320689194
n,blank.n.4,blank.n.5,blank.n.4,blank.n.5,a piece of material ready to be made into something,a piece of material ready to be made into something,a cartridge containing an explosive charge but no bullet,a cartridge containing an explosive charge but no bullet,tf_idfBNC_filt.blank.n.4.txt,tf_idfBNC_filt.blank.n.5.txt,0.8084205433028259
n,duct.n.3,duct.n.1,duct.n.3,duct.n.1,an enclosed conduit for a fluid,an enclosed conduit for a fluid,a bodily passage or tube lined with epithelial cells and conveying a secretion or other substance,a bodily passage or tube conveying a secretion or other substance,tf_idfBNC_filt.duct.n.3.txt,tf_idfBNC_filt.duct.n.1.txt,0.9235137890125611
n,duct.n.3,duct.n.2,duct.n.3,duct.n.2,an enclosed conduit for a fluid,an enclosed conduit for a fluid,a continuous tube formed by a row of elongated cells lacking intervening end walls,a continuous tube formed by a row of elongated cells lacking intervening end walls,tf_idfBNC_filt.duct.n.3.txt,tf_idfBNC_filt.duct.n.2.txt,0.8873546160054891
