Pos,sense1_key17,sense1_wn17,sense2_wn17,sense2_key17,sense1_wn21,sense2_wn21,offset1_wn21,offset2_wn21,sense1_wn17_def,sense1_wn21_def,sense2_wn17_def,sense2_wn21_def,Merge,selse2
v,draw%2:31:00::,draw.v.05,draw.v.19,draw%2:36:07::,draw#v#04,draw#v#18,00722431-v,01675714-v,,"make, formulate, or derive in the mind",,write a legal document or paper,not-merged,draw#v#04-draw#v#18
v,draw%2:31:00::,draw.v.05,draw.v.10,draw%2:31:13::,draw#v#04,draw#v#09,00722431-v,00667867-v,,"make, formulate, or derive in the mind",,select or take in from a given group or region,not-merged,draw#v#04-draw#v#09
v,draw%2:31:00::,draw.v.05,draw.v.30,draw%2:30:00::,draw#v#04,draw#v#31,00722431-v,00471947-v,,"make, formulate, or derive in the mind",,contract,not-merged,draw#v#04-draw#v#31
v,draw%2:31:00::,draw.v.05,draw.v.13,draw%2:38:02::,draw#v#04,draw#v#12,00722431-v,02069432-v,,"make, formulate, or derive in the mind",,move or go steadily or gradually,not-merged,draw#v#04-draw#v#12
v,draw%2:36:07::,draw.v.19,draw.v.10,draw%2:31:13::,draw#v#18,draw#v#09,01675714-v,00667867-v,,write a legal document or paper,,select or take in from a given group or region,not-merged,draw#v#18-draw#v#09
v,draw%2:36:07::,draw.v.19,draw.v.30,draw%2:30:00::,draw#v#18,draw#v#31,01675714-v,00471947-v,,write a legal document or paper,,contract,not-merged,draw#v#18-draw#v#31
v,draw%2:36:07::,draw.v.19,draw.v.13,draw%2:38:02::,draw#v#18,draw#v#12,01675714-v,02069432-v,,write a legal document or paper,,move or go steadily or gradually,not-merged,draw#v#18-draw#v#12
v,draw%2:31:13::,draw.v.10,draw.v.30,draw%2:30:00::,draw#v#09,draw#v#31,00667867-v,00471947-v,,select or take in from a given group or region,,contract,not-merged,draw#v#09-draw#v#31
v,draw%2:31:13::,draw.v.10,draw.v.13,draw%2:38:02::,draw#v#09,draw#v#12,00667867-v,02069432-v,,select or take in from a given group or region,,move or go steadily or gradually,not-merged,draw#v#09-draw#v#12
v,draw%2:30:00::,draw.v.30,draw.v.13,draw%2:38:02::,draw#v#31,draw#v#12,00471947-v,02069432-v,,contract,,move or go steadily or gradually,not-merged,draw#v#31-draw#v#12
a,natural%3:00:02::,natural.a.02,natural.a.01,natural%3:00:01::,natural#a#02,natural#a#01,01628875-a,01627948-a,,existing in or produced by nature; not artificial or imitation,,in accordance with nature; relating to or concerning nature,merged,natural#a#02-natural#a#01
a,natural%3:00:02::,natural.a.02,natural.a.03,natural%3:00:03::,natural#a#02,natural#a#03,01628875-a,01632001-a,,existing in or produced by nature; not artificial or imitation,,existing in or in conformity with nature or the observable world; neither supernatural nor magical,not-merged,natural#a#02-natural#a#03
a,natural%3:00:01::,natural.a.01,natural.a.03,natural%3:00:03::,natural#a#01,natural#a#03,01627948-a,01632001-a,,in accordance with nature; relating to or concerning nature,,existing in or in conformity with nature or the observable world; neither supernatural nor magical,not-merged,natural#a#01-natural#a#03
v,confront%2:32:00::,confront.v.02,confront.v.01,confront%2:33:00::,confront#v#02,confront#v#01,00803613-v,01068077-v,,deal with (something unpleasant) head on,,"oppose, as in hostility or a competition",merged,confront#v#02-confront#v#01
v,confront%2:32:00::,confront.v.02,confront.v.03,confront%2:32:03::,confront#v#02,confront#v#03,00803613-v,01055875-v,,deal with (something unpleasant) head on,,"present somebody with something, usually to accuse or criticize",merged,confront#v#02-confront#v#03
v,confront%2:33:00::,confront.v.01,confront.v.03,confront%2:32:03::,confront#v#01,confront#v#03,01068077-v,01055875-v,,"oppose, as in hostility or a competition",,"present somebody with something, usually to accuse or criticize",merged,confront#v#01-confront#v#03
v,wash_down%2:34:00::,wash_down.v.01,wash_down.v.02,wash_down%2:30:00::,wash_down#v#01,wash_down#v#02,01156167-v,00450150-v,,eat food accompanied by lots of liquid; also use metaphorically,,flow freely,not-merged,wash_down#v#01-wash_down#v#02
n,lady%1:18:02::,lady.n.01,lady.n.03,lady%1:18:00::,lady#n#01,lady#n#03,10090131-n,10089785-n,,a polite name for any woman,,a woman of the peerage in Britain,not-merged,lady#n#01-lady#n#03
n,sense%1:09:05::,sense.n.01,sense.n.02,sense%1:10:00::,sense#n#01,sense#n#02,05607407-n,06514443-n,,a general conscious awareness,,the meaning of a word or expression; the way in which a word or expression or situation can be interpreted,not-merged,sense#n#01-sense#n#02
n,sense%1:09:05::,sense.n.01,sense.n.05,sense%1:09:06::,sense#n#01,sense#n#05,05607407-n,05735320-n,,a general conscious awareness,,a natural appreciation or ability,not-merged,sense#n#01-sense#n#05
n,sense%1:09:05::,sense.n.01,sense.n.03,sense%1:09:02::,sense#n#01,sense#n#03,05607407-n,05582082-n,,a general conscious awareness,,the faculty through which the external world is apprehended,not-merged,sense#n#01-sense#n#03
n,sense%1:10:00::,sense.n.02,sense.n.05,sense%1:09:06::,sense#n#02,sense#n#05,06514443-n,05735320-n,,the meaning of a word or expression; the way in which a word or expression or situation can be interpreted,,a natural appreciation or ability,not-merged,sense#n#02-sense#n#05
n,sense%1:10:00::,sense.n.02,sense.n.03,sense%1:09:02::,sense#n#02,sense#n#03,06514443-n,05582082-n,,the meaning of a word or expression; the way in which a word or expression or situation can be interpreted,,the faculty through which the external world is apprehended,not-merged,sense#n#02-sense#n#03
n,sense%1:09:06::,sense.n.05,sense.n.03,sense%1:09:02::,sense#n#05,sense#n#03,05735320-n,05582082-n,,a natural appreciation or ability,,the faculty through which the external world is apprehended,not-merged,sense#n#05-sense#n#03
a,local%3:01:01::,local.a.02,local.a.01,local%3:00:01::,local#a#02,local#a#01,02841627-a,01149112-a,,of or belonging to or characteristic of a particular locality or neighborhood,,relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area,merged,local#a#02-local#a#01
v,play%2:41:03::,play.v.05,play.v.22,play%2:42:00::,play#v#05,play#v#22,02395028-v,02698122-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,be received or accepted or interpreted in a specific way,not-merged,play#v#05-play#v#22
v,play%2:41:03::,play.v.05,play.v.09,play%2:38:00::,play#v#05,play#v#09,02395028-v,01885549-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,"move or seem to move quickly, lightly, or irregularly",not-merged,play#v#05-play#v#09
v,play%2:41:03::,play.v.05,play.v.03,play%2:36:12::,play#v#05,play#v#03,02395028-v,01709834-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,play on an instrument,not-merged,play#v#05-play#v#03
v,play%2:41:03::,play.v.05,play.v.02,play%2:41:12::,play#v#05,play#v#02,02395028-v,02347932-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,act or have an effect in a specified way or with a specific effect or outcome,not-merged,play#v#05-play#v#02
v,play%2:41:03::,play.v.05,play.v.31,play%2:33:09::,play#v#05,play#v#31,02395028-v,01069974-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,shoot or hit in a particular manner,not-merged,play#v#05-play#v#31
v,play%2:41:03::,play.v.05,play.v.15,play%2:33:03::,play#v#05,play#v#15,02395028-v,01138514-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,"put (a card or piece) into play during a game, or act strategically as if in a card game",not-merged,play#v#05-play#v#15
v,play%2:41:03::,play.v.05,play.v.01,play%2:33:00::,play#v#05,play#v#01,02395028-v,01062243-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,participate in games or sport,not-merged,play#v#05-play#v#01
v,play%2:41:03::,play.v.05,play.v.06,play%2:36:00::,play#v#05,play#v#06,02395028-v,01709242-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,replay (as a melody),not-merged,play#v#05-play#v#06
v,play%2:41:03::,play.v.05,play.v.16,play%2:29:00::,play#v#05,play#v#16,02395028-v,00013348-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,engage in an activity as if it were a game rather than take it seriously,not-merged,play#v#05-play#v#16
v,play%2:41:03::,play.v.05,play.v.20,play%2:34:13::,play#v#05,play#v#20,02395028-v,01152231-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,use to one's advantage,not-merged,play#v#05-play#v#20
v,play%2:41:03::,play.v.05,play.v.29,play%2:33:07::,play#v#05,play#v#29,02395028-v,01145133-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,make bets,not-merged,play#v#05-play#v#29
v,play%2:41:03::,play.v.05,play.v.17,play%2:41:02::,play#v#05,play#v#17,02395028-v,02573021-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,behave in a certain way,not-merged,play#v#05-play#v#17
v,play%2:41:03::,play.v.05,play.v.28,play%2:35:07::,play#v#05,play#v#28,02395028-v,01365050-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,discharge or direct or be discharged or directed as if in a continuous stream,not-merged,play#v#05-play#v#28
v,play%2:41:03::,play.v.05,play.v.07,play%2:36:01::,play#v#05,play#v#07,02395028-v,01710937-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,perform music on (a musical instrument),not-merged,play#v#05-play#v#07
v,play%2:42:00::,play.v.22,play.v.09,play%2:38:00::,play#v#22,play#v#09,02698122-v,01885549-v,,be received or accepted or interpreted in a specific way,,"move or seem to move quickly, lightly, or irregularly",not-merged,play#v#22-play#v#09
v,play%2:42:00::,play.v.22,play.v.03,play%2:36:12::,play#v#22,play#v#03,02698122-v,01709834-v,,be received or accepted or interpreted in a specific way,,play on an instrument,not-merged,play#v#22-play#v#03
v,play%2:42:00::,play.v.22,play.v.02,play%2:41:12::,play#v#22,play#v#02,02698122-v,02347932-v,,be received or accepted or interpreted in a specific way,,act or have an effect in a specified way or with a specific effect or outcome,not-merged,play#v#22-play#v#02
v,play%2:42:00::,play.v.22,play.v.01,play%2:33:00::,play#v#22,play#v#01,02698122-v,01062243-v,,be received or accepted or interpreted in a specific way,,participate in games or sport,not-merged,play#v#22-play#v#01
v,play%2:42:00::,play.v.22,play.v.06,play%2:36:00::,play#v#22,play#v#06,02698122-v,01709242-v,,be received or accepted or interpreted in a specific way,,replay (as a melody),not-merged,play#v#22-play#v#06
v,play%2:42:00::,play.v.22,play.v.07,play%2:36:01::,play#v#22,play#v#07,02698122-v,01710937-v,,be received or accepted or interpreted in a specific way,,perform music on (a musical instrument),not-merged,play#v#22-play#v#07
v,play%2:38:00::,play.v.09,play.v.03,play%2:36:12::,play#v#09,play#v#03,01885549-v,01709834-v,,"move or seem to move quickly, lightly, or irregularly",,play on an instrument,not-merged,play#v#09-play#v#03
v,play%2:38:00::,play.v.09,play.v.02,play%2:41:12::,play#v#09,play#v#02,01885549-v,02347932-v,,"move or seem to move quickly, lightly, or irregularly",,act or have an effect in a specified way or with a specific effect or outcome,not-merged,play#v#09-play#v#02
v,play%2:38:00::,play.v.09,play.v.31,play%2:33:09::,play#v#09,play#v#31,01885549-v,01069974-v,,"move or seem to move quickly, lightly, or irregularly",,shoot or hit in a particular manner,not-merged,play#v#09-play#v#31
v,play%2:38:00::,play.v.09,play.v.15,play%2:33:03::,play#v#09,play#v#15,01885549-v,01138514-v,,"move or seem to move quickly, lightly, or irregularly",,"put (a card or piece) into play during a game, or act strategically as if in a card game",not-merged,play#v#09-play#v#15
v,play%2:38:00::,play.v.09,play.v.01,play%2:33:00::,play#v#09,play#v#01,01885549-v,01062243-v,,"move or seem to move quickly, lightly, or irregularly",,participate in games or sport,not-merged,play#v#09-play#v#01
v,play%2:38:00::,play.v.09,play.v.06,play%2:36:00::,play#v#09,play#v#06,01885549-v,01709242-v,,"move or seem to move quickly, lightly, or irregularly",,replay (as a melody),not-merged,play#v#09-play#v#06
v,play%2:38:00::,play.v.09,play.v.16,play%2:29:00::,play#v#09,play#v#16,01885549-v,00013348-v,,"move or seem to move quickly, lightly, or irregularly",,engage in an activity as if it were a game rather than take it seriously,not-merged,play#v#09-play#v#16
v,play%2:38:00::,play.v.09,play.v.20,play%2:34:13::,play#v#09,play#v#20,01885549-v,01152231-v,,"move or seem to move quickly, lightly, or irregularly",,use to one's advantage,not-merged,play#v#09-play#v#20
v,play%2:38:00::,play.v.09,play.v.29,play%2:33:07::,play#v#09,play#v#29,01885549-v,01145133-v,,"move or seem to move quickly, lightly, or irregularly",,make bets,not-merged,play#v#09-play#v#29
v,play%2:38:00::,play.v.09,play.v.17,play%2:41:02::,play#v#09,play#v#17,01885549-v,02573021-v,,"move or seem to move quickly, lightly, or irregularly",,behave in a certain way,not-merged,play#v#09-play#v#17
v,play%2:38:00::,play.v.09,play.v.28,play%2:35:07::,play#v#09,play#v#28,01885549-v,01365050-v,,"move or seem to move quickly, lightly, or irregularly",,discharge or direct or be discharged or directed as if in a continuous stream,not-merged,play#v#09-play#v#28
v,play%2:38:00::,play.v.09,play.v.07,play%2:36:01::,play#v#09,play#v#07,01885549-v,01710937-v,,"move or seem to move quickly, lightly, or irregularly",,perform music on (a musical instrument),not-merged,play#v#09-play#v#07
v,play%2:36:12::,play.v.03,play.v.02,play%2:41:12::,play#v#03,play#v#02,01709834-v,02347932-v,,play on an instrument,,act or have an effect in a specified way or with a specific effect or outcome,not-merged,play#v#03-play#v#02
v,play%2:36:12::,play.v.03,play.v.31,play%2:33:09::,play#v#03,play#v#31,01709834-v,01069974-v,,play on an instrument,,shoot or hit in a particular manner,not-merged,play#v#03-play#v#31
v,play%2:36:12::,play.v.03,play.v.15,play%2:33:03::,play#v#03,play#v#15,01709834-v,01138514-v,,play on an instrument,,"put (a card or piece) into play during a game, or act strategically as if in a card game",not-merged,play#v#03-play#v#15
v,play%2:36:12::,play.v.03,play.v.01,play%2:33:00::,play#v#03,play#v#01,01709834-v,01062243-v,,play on an instrument,,participate in games or sport,not-merged,play#v#03-play#v#01
v,play%2:36:12::,play.v.03,play.v.06,play%2:36:00::,play#v#03,play#v#06,01709834-v,01709242-v,,play on an instrument,,replay (as a melody),not-merged,play#v#03-play#v#06
